tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,vehicle_speed_kmh,ambient_temperature_c,failure_score
2.5,2.5,2.4,2.4,29.538691890551917,32.367809534072876,0.031649
2.5,2.5,2.4,2.4,27.634944997972113,27.057395696640015,0.029609
2.5,2.5,2.4,2.4,31.606876819748678,17.0,0.033865
2.5,2.5,2.4,2.4,27.59025625839136,34.00000047683716,0.029561
2.5,2.5,2.4,2.4,30.26218930320688,17.0,0.032424
2.5,2.5,2.4,2.4,19.78227993560154,29.74725317955017,0.021195
2.5,2.5,2.4,2.4,10.090508355545467,34.00000047683716,0.010811
2.5,2.5,2.4,2.4,31.166230246976372,17.0,0.033392
2.5,2.5,2.4,2.4,27.611551428181162,34.00000047683716,0.029584
2.5,2.5,2.4,2.4,30.110366663232853,17.0,0.032261
2.5,2.5,2.4,2.4,29.846523808684093,27.290929079055786,0.031978
2.5,2.5,2.4,2.4,27.878331749681312,26.53807532787323,0.02987
2.5,2.5,2.4,2.4,30.865928355044474,17.0,0.033071
2.5,2.5,2.4,2.4,27.76337458962192,34.00000047683716,0.029746
2.5,2.5,2.4,2.4,28.658696513203893,19.50248372554779,0.030706
2.5,2.5,2.4,2.4,30.37463396355615,24.510072588920593,0.032544
2.5,2.5,2.4,2.4,27.224845809634743,34.00000047683716,0.029169
2.5,2.5,2.4,2.4,29.63609613076339,17.0,0.031753
2.5,2.5,2.4,2.4,29.360018590313768,32.9571897983551,0.031457
2.5,2.5,2.4,2.4,27.812033469139106,27.22909641265869,0.029799
2.5,2.5,2.4,2.4,24.644194958067324,17.0,0.026404
2.5,2.5,2.4,2.4,27.919582464563618,34.00000047683716,0.029914
2.5,2.5,2.4,2.4,29.571533974557028,17.0,0.031684
2.5,2.5,2.4,2.4,29.603024334544646,28.81881070137024,0.031718
2.5,2.5,2.4,2.4,27.828444295497476,23.190065741539,0.029816
2.5,2.5,2.4,2.4,30.627457019007522,17.0,0.032815
2.5,2.5,2.4,2.4,27.26549944723895,34.00000047683716,0.029213
2.5,2.5,2.4,2.4,29.965943622528993,17.0,0.032106
2.5,2.5,2.4,2.4,29.259640748669067,29.31028914451599,0.03135
2.5,2.5,2.4,2.4,27.781590274772242,27.773398876190186,0.029766
2.5,2.5,2.4,2.4,30.776625958784923,17.0,0.032975
2.5,2.5,2.4,2.4,27.773992795423286,34.00000047683716,0.029758
2.5,2.5,2.4,2.4,29.081947719650486,17.0,0.031159
2.5,2.5,2.4,2.4,27.589709135243865,22.941385626792908,0.02956
2.5,2.5,2.4,2.4,20.27005258217702,17.0,0.021718
2.5,2.5,2.4,2.4,27.800211450858043,28.0895836353302,0.029786
2.5,2.5,2.4,2.4,30.877229051169778,17.0,0.033083
2.5,2.5,2.4,2.4,27.627531419669573,34.00000047683716,0.029601
2.5,2.5,2.4,2.4,29.692944877485456,17.0,0.031814
2.5,2.5,2.4,2.4,30.66034230024628,28.373735666275024,0.03285
2.5,2.5,2.4,2.4,28.005818148785263,20.983175456523895,0.030006
2.5,2.5,2.4,2.4,30.97579371978603,17.0,0.033188
2.5,2.5,2.4,2.4,0.0029263609892379566,17.0,3e-06
2.5,2.5,2.4,2.4,0.001656497923340383,17.0,2e-06
2.5,2.5,2.4,2.4,0.0032070464939918373,17.0,3e-06
2.5,2.5,2.4,2.4,0.0009388847393257814,17.0,1e-06
2.5,2.5,2.4,2.4,0.001757263171239777,17.0,2e-06
2.5,2.5,2.4,2.4,0.002282272372604622,17.0,2e-06
2.5,2.5,2.4,2.4,3.165438880808377e-05,17.0,0.0
2.5,2.5,2.4,2.4,0.0005419006349025814,17.0,1e-06
2.5,2.5,2.4,2.4,0.0005207862938143329,17.0,1e-06
2.5,2.5,2.4,2.4,0.00018240736986705576,17.0,0.0
2.5,2.5,2.4,2.4,0.001685783348938031,17.0,2e-06
2.5,2.5,2.4,2.4,0.0004741974156329695,17.0,1e-06
2.5,2.5,2.4,2.4,0.008240175247194934,17.0,9e-06
2.5,2.5,2.4,2.4,0.0010698623819632713,17.0,1e-06
2.5,2.5,2.4,2.4,0.002304622507912089,17.0,2e-06
2.5,2.5,2.4,2.4,0.007644132245338649,17.0,8e-06
2.5,2.5,2.4,2.4,22.71325560345254,17.0,0.024336
2.5,2.5,2.4,2.4,31.465176966681774,17.0,0.033713
2.5,2.5,2.4,2.4,27.900447329071454,34.00000047683716,0.029893
2.5,2.5,2.4,2.4,29.30841167954218,17.0,0.031402
2.5,2.5,2.4,2.4,30.42974182809055,30.265305757522583,0.032603
2.5,2.5,2.4,2.4,27.60685425372417,24.560018301010132,0.029579
2.5,2.5,2.4,2.4,31.106421616313437,17.0,0.033328
2.5,2.5,2.4,2.4,27.595442625357435,34.00000047683716,0.029567
2.5,2.5,2.4,2.4,28.667298867705227,17.0,0.030715
2.5,2.5,2.4,2.4,30.581884637425613,28.720268726348877,0.032766
2.5,2.5,2.4,2.4,10.58925279274124,34.00000047683716,0.011346
2.5,2.5,2.4,2.4,26.87028278006643,34.00000047683716,0.02879
2.5,2.5,2.4,2.4,31.0468250391041,17.0,0.033264
2.5,2.5,2.4,2.4,28.526762218033962,34.00000047683716,0.030564
2.5,2.5,2.4,2.4,29.368411698061728,17.0,0.031466
2.5,2.5,2.4,2.4,31.358286936015553,17.0,0.033598
2.5,2.5,2.4,2.4,27.403123796921896,31.445337057113647,0.02936
2.5,2.5,2.4,2.4,31.211600147389465,17.0,0.033441
2.5,2.5,2.4,2.4,27.86038523615932,34.00000047683716,0.02985
2.5,2.5,2.4,2.4,29.231071546260885,17.0,0.031319
2.5,2.5,2.4,2.4,29.073820780013012,33.428242921829224,0.031151
2.5,2.5,2.4,2.4,27.959082168734835,21.547143280506134,0.029956
2.5,2.5,2.4,2.4,31.66137324320544,17.0,0.033923
2.5,2.5,2.4,2.4,27.34301886321564,32.67035913467407,0.029296
2.5,2.5,2.4,2.4,28.88984783769198,17.0,0.030953
2.5,2.5,2.4,2.4,9.44513431139497,17.0,0.01012
2.5,2.5,2.4,2.4,28.262960790855505,19.039863765239716,0.030282
2.5,2.5,2.4,2.4,31.054498431492874,22.330204963684082,0.033273
2.5,2.5,2.4,2.4,27.31087189584768,30.19325089454651,0.029262
2.5,2.5,2.4,2.4,30.39907974653191,17.0,0.03257
2.5,2.5,2.4,2.4,28.630867237622343,34.00000047683716,0.030676
2.5,2.5,2.4,2.4,29.358749005514973,17.0,0.031456
2.5,2.5,2.4,2.4,29.37642430687653,34.00000047683716,0.031475
2.5,2.5,2.4,2.4,28.039610151743844,20.423613905906677,0.030042
2.5,2.5,2.4,2.4,31.06809605503724,17.0,0.033287
2.5,2.5,2.4,2.4,27.382743427390967,34.00000047683716,0.029339
2.5,2.5,2.4,2.4,30.553537570902247,17.0,0.032736
2.5,2.5,2.4,2.4,29.592184986502637,31.304062128067017,0.031706
2.5,2.5,2.4,2.4,23.913061414633717,17.66551797091961,0.025621
2.5,2.5,2.4,2.4,13.259363044158512,34.00000047683716,0.014206
2.5,2.5,2.4,2.4,29.60722044205383,17.0,0.031722
2.5,2.5,2.4,2.4,29.949234479068622,29.576953172683716,0.032088
2.5,2.5,2.4,2.4,27.640366752926294,29.79004216194153,0.029615
2.5,2.5,2.4,2.4,31.0693396316667,17.0,0.033289
2.5,2.5,2.4,2.4,27.436974098223555,33.78166627883911,0.029397
2.5,2.5,2.4,2.4,30.637992351835887,17.0,0.032826
2.5,2.5,2.4,2.4,23.07124838042497,30.50743293762207,0.024719
2.5,2.5,2.4,2.4,0.001087412715471062,17.0,1e-06
2.5,2.5,2.4,2.4,0.0007091331068921823,17.0,1e-06
2.5,2.5,2.4,2.4,0.000595905294233437,17.0,1e-06
2.5,2.5,2.4,2.4,0.005594169348954947,17.0,6e-06
2.5,2.5,2.4,2.4,0.002587692160168632,17.0,3e-06
2.5,2.5,2.4,2.4,0.0,17.0,0.0
2.5,2.5,2.4,2.4,0.0009284820642756043,17.0,1e-06
2.5,2.5,2.4,2.4,0.0021854896796932007,17.0,2e-06
2.5,2.5,2.4,2.4,0.0025299796192951494,17.0,3e-06
2.5,2.5,2.4,2.4,0.001669338159457708,17.0,2e-06
2.5,2.5,2.4,2.4,0.0,17.0,0.0
2.5,2.5,2.4,2.4,0.00580936423503252,17.0,6e-06
2.5,2.5,2.4,2.4,0.003655288463994762,17.0,4e-06
2.5,2.5,2.4,2.4,0.000359081307584623,17.0,0.0
2.5,2.5,2.4,2.4,0.0015998496677674177,17.0,2e-06
2.5,2.5,2.4,2.4,0.000526966078743636,17.0,1e-06
2.5,2.5,2.4,2.4,18.40040209796967,34.00000047683716,0.019715
2.5,2.5,2.4,2.4,27.44318670281902,34.00000047683716,0.029403
2.5,2.5,2.4,2.4,30.4638839130726,17.0,0.03264
2.5,2.5,2.4,2.4,29.705939910644208,32.41555643081665,0.031828
2.5,2.5,2.4,2.4,27.684933522570184,25.42410147190094,0.029662
2.5,2.5,2.4,2.4,30.901590915444295,17.0,0.033109
2.5,2.5,2.4,2.4,27.84079727471675,34.00000047683716,0.029829
2.5,2.5,2.4,2.4,28.63669475351438,18.518660485744476,0.030682
2.5,2.5,2.4,2.4,30.197866205725237,30.973021507263184,0.032355
2.5,2.5,2.4,2.4,26.698159803113356,17.0,0.028605
2.5,2.5,2.4,2.4,18.101429417087633,34.00000047683716,0.019394
2.5,2.5,2.4,2.4,31.727669367325,19.3220294713974,0.033994
2.5,2.5,2.4,2.4,27.297138856028152,30.300065994262695,0.029247
2.5,2.5,2.4,2.4,30.35077457282502,17.0,0.032519
2.5,2.5,2.4,2.4,29.117527227078323,34.00000047683716,0.031197
2.5,2.5,2.4,2.4,27.749399928796755,29.397525310516357,0.029731
2.5,2.5,2.4,2.4,30.703659701266947,17.0,0.032897
2.5,2.5,2.4,2.4,27.65711452281888,34.00000047683716,0.029633
2.5,2.5,2.4,2.4,30.121042061049064,17.0,0.032273
2.5,2.5,2.4,2.4,29.645006723404247,29.157387733459473,0.031763
2.5,2.5,2.4,2.4,27.832843021715373,22.01411199569702,0.029821
2.5,2.5,2.4,2.4,30.953596951557678,17.0,0.033165
2.5,2.5,2.4,2.4,27.59699910062973,34.00000047683716,0.029568
2.5,2.5,2.4,2.4,29.782199951130067,17.0,0.031909
2.5,2.5,2.4,2.4,25.894666800356855,34.00000047683716,0.027744
2.5,2.5,2.4,2.4,11.679449987147272,34.00000047683716,0.012514
2.5,2.5,2.4,2.4,29.46290395876032,17.0,0.031567
2.5,2.5,2.4,2.4,29.18631516729134,34.00000047683716,0.031271
2.5,2.5,2.4,2.4,27.997834750156397,26.677748680114746,0.029998
2.5,2.5,2.4,2.4,30.115529947993302,23.446844935417175,0.032267
2.5,2.5,2.4,2.4,27.54712923563087,31.71803069114685,0.029515
2.5,2.5,2.4,2.4,31.17032049854288,17.0,0.033397
2.5,2.5,2.4,2.4,28.525350410369732,34.00000047683716,0.030563
2.5,2.5,2.4,2.4,29.23837620410415,17.0,0.031327
2.5,2.5,2.4,2.4,29.722807834493754,31.86989140510559,0.031846
2.5,2.5,2.4,2.4,27.369581940527528,32.47740817070007,0.029325
2.5,2.5,2.4,2.4,31.093884510157622,17.0,0.033315
2.5,2.5,2.4,2.4,28.824393282645826,34.00000047683716,0.030883
2.5,2.5,2.4,2.4,24.756936915666014,17.0,0.026525
2.5,2.5,2.4,2.4,10.923723304917704,34.00000047683716,0.011704
